1 2 3
1 2 3
1 2 3
13.153 13.916 -4.640
1 2 3

1 2 3
1 2 3
1 2 3
13.153 13.916 -4.640
1 2 3

1 2 3
1 2 3
1 2 3
13.153 13.916 -4.640
1 2 3

1 2 3
1 2 3
1 2 3
13.153 13.917 -4.640
1 2 3

1 2 3
1 2 3
1 2 3
13.153 13.917 -4.640
1 2 3

1 2 3
1 2 3
1 2 3
13.123 13.968 -4.635
1 2 3

1 2 3
1 2 3
1 2 3
13.038 14.042 -4.630
1 2 3

1 2 3
1 2 3
1 2 3
12.956 14.128 -4.624
1 2 3

1 2 3
1 2 3
1 2 3
12.880 14.211 -4.619
1 2 3

1 2 3
1 2 3
1 2 3
12.807 14.291 -4.614
1 2 3

1 2 3
1 2 3
1 2 3
12.737 14.369 -4.608
1 2 3

1 2 3
1 2 3
1 2 3
12.671 14.444 -4.603
1 2 3

1 2 3
1 2 3
1 2 3
12.604 14.519 -4.598
1 2 3

1 2 3
1 2 3
1 2 3
12.541 14.580 -4.593
1 2 3

1 2 3
1 2 3
1 2 3
12.480 14.641 -4.588
1 2 3

1 2 3
1 2 3
1 2 3
12.419 14.710 -4.582
1 2 3

1 2 3
1 2 3
1 2 3
12.360 14.779 -4.578
1 2 3

1 2 3
1 2 3
1 2 3
12.301 14.846 -4.572
1 2 3

1 2 3
1 2 3
1 2 3
12.245 14.911 -4.568
1 2 3

1 2 3
1 2 3
1 2 3
12.190 14.975 -4.562
1 2 3

1 2 3
1 2 3
1 2 3
12.141 15.034 -4.558
1 2 3

1 2 3
1 2 3
1 2 3
12.089 15.095 -4.553
1 2 3

1 2 3
1 2 3
1 2 3
12.037 15.156 -4.548
1 2 3

1 2 3
1 2 3
1 2 3
11.988 15.214 -4.543
1 2 3

1 2 3
1 2 3
1 2 3
11.939 15.271 -4.538
1 2 3

1 2 3
1 2 3
1 2 3
11.895 15.325 -4.533
1 2 3

1 2 3
1 2 3
1 2 3
11.849 15.381 -4.529
1 2 3

1 2 3
1 2 3
1 2 3
11.808 15.433 -4.524
1 2 3

1 2 3
1 2 3
1 2 3
11.767 15.485 -4.519
1 2 3

1 2 3
1 2 3
1 2 3
11.729 15.535 -4.515
1 2 3

1 2 3
1 2 3
1 2 3
11.690 15.584 -4.511
1 2 3

1 2 3
1 2 3
1 2 3
11.652 15.633 -4.506
1 2 3

1 2 3
1 2 3
1 2 3
11.609 15.684 -4.501
1 2 3

1 2 3
1 2 3
1 2 3
11.567 15.734 -4.497
1 2 3

1 2 3
1 2 3
1 2 3
11.526 15.784 -4.492
1 2 3

1 2 3
1 2 3
1 2 3
11.491 15.824 -4.488
1 2 3

1 2 3
1 2 3
1 2 3
11.459 15.870 -4.483
1 2 3

1 2 3
1 2 3
1 2 3
11.422 15.917 -4.479
1 2 3

1 2 3
1 2 3
1 2 3
11.390 15.962 -4.474
1 2 3

1 2 3
1 2 3
1 2 3
11.358 16.005 -4.470
1 2 3

1 2 3
1 2 3
1 2 3
11.328 16.049 -4.465
1 2 3

