1 2 3
1 2 3
1 2 3
7.527 11.130 0.049
1 2 3

1 2 3
1 2 3
1 2 3
7.527 11.130 0.049
1 2 3

1 2 3
1 2 3
1 2 3
7.527 11.129 0.049
1 2 3

1 2 3
1 2 3
1 2 3
7.527 11.129 0.049
1 2 3

1 2 3
1 2 3
1 2 3
7.527 11.129 0.049
1 2 3

1 2 3
1 2 3
1 2 3
7.524 11.130 0.049
1 2 3

1 2 3
1 2 3
1 2 3
7.522 11.131 0.048
1 2 3

1 2 3
1 2 3
1 2 3
7.519 11.132 0.048
1 2 3

1 2 3
1 2 3
1 2 3
7.517 11.133 0.047
1 2 3

1 2 3
1 2 3
1 2 3
7.514 11.134 0.047
1 2 3

1 2 3
1 2 3
1 2 3
7.512 11.135 0.046
1 2 3

1 2 3
1 2 3
1 2 3
7.509 11.137 0.046
1 2 3

1 2 3
1 2 3
1 2 3
7.507 11.138 0.045
1 2 3

1 2 3
1 2 3
1 2 3
7.504 11.139 0.045
1 2 3

1 2 3
1 2 3
1 2 3
7.501 11.140 0.044
1 2 3

1 2 3
1 2 3
1 2 3
7.499 11.141 0.044
1 2 3

1 2 3
1 2 3
1 2 3
7.496 11.142 0.044
1 2 3

1 2 3
1 2 3
1 2 3
7.493 11.143 0.043
1 2 3

1 2 3
1 2 3
1 2 3
7.491 11.144 0.043
1 2 3

1 2 3
1 2 3
1 2 3
7.488 11.145 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.485 11.145 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.482 11.146 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.480 11.147 0.042
1 2 3

1 2 3
1 2 3
1 2 3
7.477 11.148 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.474 11.149 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.471 11.150 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.468 11.151 0.041
1 2 3

1 2 3
1 2 3
1 2 3
7.464 11.152 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.461 11.153 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.458 11.154 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.455 11.155 0.040
1 2 3

1 2 3
1 2 3
1 2 3
7.451 11.156 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.448 11.157 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.445 11.158 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.443 11.159 0.039
1 2 3

1 2 3
1 2 3
1 2 3
7.440 11.160 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.436 11.161 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.433 11.162 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.430 11.163 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.427 11.164 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.423 11.165 0.038
1 2 3

1 2 3
1 2 3
1 2 3
7.419 11.166 0.038
1 2 3

